ID, Sentence, Aspect, Intensity
R0283:S003, 肉粿没有很焦脆。, 肉粿, 4.0#5.0
R0283:S004, 肉粿每一块都好脆好恰好喜欢。, 肉粿#肉粿#肉粿, 6.25#6.0 6.12#6.0 6.62#6.62
R0284:S012, 口感有点微妙。, 口感, 4.75#4.75
R0284:S018, 很够味起司也很香。, 起司#起司, 6.67#6.5 6.5#6.33
R0284:S021, 这款沙拉真是我的爱。, 沙拉, 7.5#7.25
R0284:S025, 味道是真的很好。, 味道, 6.17#6.17
R0284:S026, 坚果给的超级多。, 坚果, 6.83#6.83
R0284:S027, 鸡肉烤得嫩有点微甜。, 鸡肉#鸡肉, 6.1#5.6 6.0#5.6
R0284:S034, 味道有点带苦。, 味道, 4.17#5.0
R0285:S009, 蔬菜爽口。, 蔬菜, 6.25#5.25
R0285:S015, 他们家泡菜很好吃。, 泡菜, 6.62#6.62
R0285:S016, 口味偏甜, 口味, 5.12#4.75
R0285:S01˙, 很合我们口味。, 口味, 6.17#6.33
R0285:S020, 真的解腻又爽口。, NULL#NULL, 5.88#5.5 6.0#5.38
R0285:S023, 服务还蛮好的。, 服务, 6.12#5.38
R0285:S027, 牛舌新鲜。, 牛舌, 6.33#6.0
R0285:S030, 油脂多有嚼劲。, 油脂#NULL, 6.33#5.83 6.0#5.67
R0285:S031, 牛小排还是当天最佳。, 牛小排, 6.6#6.2
R0285:S032, 口感棒油脂丰富。, 口感#油脂, 6.0#5.25 6.12#5.38
R0285:S033, 柚子胡椒酱真的加分很多。, 柚子胡椒酱, 6.83#6.5
R0285:S034, 海鲜类也都不错。, 海鲜类, 5.67#5.17
R0285:S035, 干贝很新鲜而且很大很饱满。, 干贝#干贝#干贝, 6.25#6.0 6.25#6.0 6.25#6.0
R0285:S042, 因为店员烤得过程很用心也很认真。, 店员#店员, 6.5#6.5 6.5#6.5
R0286:S003, 炸的很酥脆软嫩又多汁。, NULL#NULL#NULL, 6.5#6.5 6.5#6.33 6.5#6.5
R0286:S004, 胡椒盐的份量和咸度刚刚好。, 胡椒盐的份量#咸度, 6.0#5.75 6.0#5.75
R0286:S007, 咸粿炸的酥酥脆脆。, 咸粿, 6.5#6.5
R0286:S010, 四季豆炸的酥脆又保有水份。, 四季豆#四季豆, 6.0#5.0 6.0#5.0
R0287:S007, 我更喜欢的是他的炸萝卜糕。, 炸萝卜糕, 6.5#6.5
R0287:S008, 萝卜糕蛮大块的又厚实。, 萝卜糕#萝卜糕, 6.62#6.25 6.62#5.62
R0287:S009, 外皮非常非常酥脆。, 外皮, 7.25#6.62
R0288:S003, 主打高CP值又大颗的手工小笼包。, 手工小笼包#手工小笼包, 6.5#5.88 6.5#5.25
R0288:S004, 搭配手工辣椒真的超够味的。, 手工辣椒, 6.67#6.5
R0288:S009, 我超爱厚皮的小笼包。, 小笼包#小笼包, 8.0#8.0 6.25#6.0
R0289:S004, 开车前来还算方便。, 开车, 6.0#5.25
R0289:S009, 可以享受不被打扰的时光。, NULL, 6.0#5.62
R0289:S011, 果然美味。, NULL, 6.0#5.5
R0289:S013, 米饭粒粒分明又不油腻。, 米饭#米饭, 6.0#5.5 5.75#5.12
R0289:S017, 大量的葱花让口感又更丰富些。, 葱花#口感, 6.25#6.12 6.5#6.12
R0289:S018, 蛋香也不错。, 蛋香, 5.75#5.38
R0289:S029, 鱼肉细致湿润鲜味足。, 鱼肉#鱼肉#鱼肉, 6.5#5.83 6.5#5.83 6.5#6.0
R0289:S032, 面衣薄酥无油。, 面衣#面衣, 6.17#5.5 5.83#5.33
R0289:S034, 有汁不腻口。, NULL#NULL, 6.67#5.5 6.67#5.5
R0290:S024, 鱼类稍贵。, 鱼类, 4.12#4.75
R0290:S035, 送菜速度算快。, 送菜, 5.62#5.25
R0290:S040, 腐乳高丽菜不算少。, 腐乳高丽菜, 5.83#5.5
R0290:S043, 高丽菜不会太软。, 高丽菜, 5.38#5.12
R0290:S044, 高丽菜也不油腻。, 高丽菜, 5.38#5.12
R0290:S047, 高丽菜炒得算好吃。, 高丽菜, 5.5#5.25
R0290:S050, 最爱就是虾仁料理了。, 虾仁料理, 7.83#8.0
R0290:S053, 觉得虾仁不多。, 虾仁, 4.62#5.5
R0290:S057, 其实里面的虾子也不少。, 虾子, 6.3#5.8
R0290:S062, 除了有浓郁的蛋香味外。, 蛋香味, 6.38#5.88
R0290:S064, 炒蛋非常软嫩。, 炒蛋, 7.0#6.83
R0290:S065, 搭配爽脆的虾仁。, 虾仁, 6.25#5.38
R0290:S067, 真的很下饭。, NULL, 6.75#6.75
R0290:S072, 椒麻非常香。, 椒麻, 6.62#6.5
R0290:S082, 味道非常好。, 味道, 6.62#6.62
R0290:S084, 不过牛肉份量不多。, 牛肉份量, 4.5#4.67
R0290:S092, 牛肉虽滑嫩。, 牛肉, 6.0#5.25
R0290:S094, 觉得蛮好吃的。, NULL, 6.5#6.0
R0290:S096, 则是满满的豆芽葱段和芹菜。, 豆芽葱段#芹菜, 5.83#5.17 5.83#5.17
R0290:S099, 豆芽吃起来很好吃。, 豆芽, 6.25#5.88
R0290:S100, 豆芽非常爽口。, 豆芽, 7.0#6.75
R0290:S102, 非常下饭。, NULL, 7.0#6.17
R0290:S107, 喜欢他们的调味。, 调味, 5.5#5.12
R0290:S108, 店内的环境也很干净。, 环境, 6.62#6.0
R0290:S110, 里面的店员态度也很有礼貌。, 店员态度, 6.5#6.5
R0290:S111, 店员的服务有热忱。, 店员的服务, 6.25#6.25
R0293:S003, 是鲜美的鱼汤。, 鱼汤, 6.38#6.0
R0293:S004, 以鱼汤当底好喝。, 鱼汤, 6.75#6.12
R0293:S012, 鱼汤有点过于清淡这样。, 鱼汤, 4.0#5.33
R0293:S015, 鱼肉软嫩鲜甜。, 鱼肉, 6.5#6.0
R0293:S016, 面也不错吃。, 面, 6.0#5.62
R0293:S029, 吃的到鱼的鲜甜。, 鱼, 6.3#5.8
R0293:S031, 口感和味道都赞。, 口感#味道, 6.33#5.0 6.33#5.0
R0294:S113, 干贝质地很好。, 干贝质地, 6.62#6.12
R0294:S150, 酱汁浓郁。, 酱汁, 6.25#5.88
R0294:S186, 肉身黏糊糊的。, 肉, 4.75#5.12
R0294:S194, 酒肴杰出。, 酒肴, 7.0#6.67
R0294:S226, 真心佩服这样美味的寿司。, 寿司, 6.5#5.88
R0295:S012, 座位不算多。, 座位, 5.0#4.75
R0295:S015, 口味比较咸。, 口味, 4.0#5.17
R0295:S020, 溏心蛋有点过熟了。, 溏心蛋, 4.5#5.25
R0295:S026, 它的酱蛮香的。, 酱, 6.0#5.33
R0295:S033, 口味还不错。, 口味, 5.62#5.12
R0295:S037, 配菜表现普通。, 配菜, 5.0#5.0
R0296:S005, 火鸡肉的量很多。, 火鸡肉的量, 6.25#6.0
R0296:S006, 但它菜色不多啦。, 菜色, 4.62#4.75
R0296:S009, 地点很显目好找。, 地点#地点, 6.0#6.75 6.0#5.25
R0296:S021, 火鸡肉的份量算多。, 火鸡肉的份量, 5.88#5.25
R0296:S023, 它的白饭偏干。, 白饭, 4.25#4.88
R0296:S024, 当天白饭口感有点干硬。, 白饭口感, 4.33#5.5
R0296:S026, 配菜冷冷的。, 配菜, 4.0#4.83
R0296:S032, 阿伟火鸡肉饭这家店价格不贵。, 阿伟火鸡肉饭, 6.12#5.12
R0297:S011, 价格也不贵。, 价格, 6.38#5.88
R0297:S014, 很蓬松的口感。, 口感, 6.33#6.5
R0297:S017, 但还是算非常绵软。, NULL, 6.38#5.88
