ID, Sentence, Aspect, Intensity
R1428:S011, 牛排外皮非常難吃。, 牛排外皮, 3.12#6.62
R1428:S014, 推薦旁邊的松露洋芋泥。, 松露洋芋泥, 6.3#6.4
R1428:S016, 松露味很香。, 松露味, 6.0#5.62
R1428:S017, 起司醬玉米粒也好吃。, 起司醬玉米粒, 6.38#6.0
R1428:S018, 起司濃郁玉米鮮甜。, 起司濃郁玉米, 6.17#5.33
R1428:S019, 巧達蔬菜濃湯滿好喝的。, 巧達蔬菜濃湯, 5.88#5.38
R1428:S022, 調味好吃。, 調味, 5.75#5.38
R1428:S024, 義大利麵表現很好。, 義大利麵表現, 6.17#5.67
R1428:S025, 沙拉新鮮。, 沙拉, 5.88#5.38
R1428:S029, 三明治好吃。, 三明治, 5.88#5.25
R1428:S033, 雞腿排很軟嫩。, 雞腿排, 6.5#6.12
R1428:S037, 餐廳環境乾淨。, 餐廳環境, 5.75#5.38
R1428:S044, 餐廳食物選擇性較少。, 食物選擇性, 4.25#4.88
R1429:S001, 喜歡這家餐廳的菜色。, 菜色, 6.75#6.25
R1429:S005, 這間餐廳很划算。, 這間餐廳, 6.0#5.67
R1429:S006, 龍蝦肉很彈牙。, 龍蝦肉, 6.5#6.33
R1430:S007, 還有餐廳服務員收餐很積極。, 服務員收餐, 6.25#5.88
R1430:S017, 反觀早餐種類比較豐富多元。, 早餐種類, 6.25#5.62
R1431:S004, 牛排超讚。, 牛排, 6.83#7.5
R1431:S006, 甜點芋頭蛋糕綿密。, 芋頭蛋糕, 6.0#5.5
R1431:S008, 餐廳服務到位。, 餐廳服務, 5.75#5.5
R1432:S002, 首先生魚片很新鮮。, 生魚片, 6.12#6.0
R1432:S003, 涼拌沙拉有很多選擇。, 涼拌沙拉, 5.88#5.38
R1432:S010, 飲品選擇偏少。, 飲品選擇, 4.5#4.83
R1432:S017, 布蕾是偏稀。, 布蕾, 4.33#4.67
R1432:S021, 因為食材選擇不多。, 食材選擇, 4.88#5.62
R1433:S001, 餐廳環境讓人感覺非常舒服。, 餐廳環境, 6.67#6.5
R1433:S010, 在這裡用餐的整體氛圍輕鬆舒適。, 氛圍, 5.67#5.33
R1434:S001, 但是餐點口味都有一定水準。, 餐點口味, 6.25#5.75
R1434:S002, 餐點很好吃。, 餐點, 6.88#6.5
R1434:S005, 肉非常軟嫩。, 肉, 6.62#6.88
R1434:S007, 咖啡還不錯。, 咖啡, 6.0#5.5
R1434:S008, 餐廳整體來說蠻不錯的。, 餐廳, 6.0#5.75
R1435:S003, 雞肉烹煮過頭而乾柴。, 雞肉, 4.0#4.67
R1435:S005, 鮭魚份量不多。, 鮭魚份量, 4.75#5.12
R1437:S002, 餐廳食材新鮮。, 食材, 6.0#5.25
R1437:S006, 甜點份量小。, 甜點份量, 4.88#5.62
R1438:S002, 餐點還不錯。, 餐點, 6.0#5.62
R1439:S009, 但餐點味道完全不到位。, 餐點味道, 2.5#7.0
R1439:S010, 酸辣甜鹹的平衡感很糟。, 酸辣甜鹹的平衡感, 3.12#5.75
R1439:S011, 東南亞料理好吃。, 東南亞料理, 6.0#6.0
R1439:S016, 蝦子好吃。, 蝦子, 6.3#5.8
